episode,theta,theta_dot,u
0,-0.2942900102385603,0.5709989761439688,-12.0
0,-0.2858810736073511,0.8408936631209198,-7.203608600390662
0,-0.2763050965238667,0.957597708348438,-4.708093639326686
0,-0.26633805918243864,0.9967037341428066,-3.3914221941671636
0,-0.25636875057647424,0.9969308605964406,-2.6798924941550935
0,-0.24658791491337834,0.9780835663095898,-2.2793031382874442
0,-0.23708535389418778,0.9502561019190546,-2.0388480660584145
0,-0.22789968785111894,0.9185666043068828,-1.8813653404150736
0,-0.21904378139159694,0.8855906459521989,-1.7674546795896955
0,-0.2105176899502779,0.852609144131904,-1.6770260880462864
0,-0.2023152275923899,0.820246235788798,-1.5998344449558841
0,-0.19442728540730253,0.7887942185087373,-1.530639217385212
0,-0.1868435001844939,0.7583785222808632,-1.466737668222203
0,-0.17955308821691124,0.7290411967582654,-1.40671182913285
0,-0.1725452578721626,0.7007830344748641,-1.349793954610326
0,-0.16580941023467216,0.6735847637490429,-1.2955460390875908
0,-0.15933523341560063,0.6474176819071521,-1.2436982993945431
0,-0.15311274366590827,0.6222489749692358,-1.1940678813668084
0,-0.14713229996938995,0.5980443696518318,-1.1465179468824447
0,-0.14138460548470513,0.5747694484684817,-1.1009370415609432
0,-0.1358607025281612,0.5523902956543938,-1.0572286316403519
0,-0.1305519644454793,0.5308738082681891,-1.0153057358912978
0,-0.1254500860491548,0.5101878396324517,-0.97508811167366
0,-0.12054707346301582,0.4903012586138984,-0.936500724906578
0,-0.1158352337984125,0.4711839664603322,-0.8994728696094461
0,-0.1113071648776763,0.4528068920736192,-0.863937620253842
0,-0.10695574511552991,0.43514197621463946,-0.829831458518099
0,-0.10277412361591148,0.4181621499618427,-0.7970939949040803
0,-0.09875571051428723,0.40184131016242536,-0.7656677449417173
0,-0.09489416758107812,0.3861542933209112,-0.7354979392720864
0,-0.09118339909391704,0.37107684871610813,-0.7065323566758348
0,-0.0876175429818938,0.356585611202324,-0.6787211740278165
0,-0.08419096224214613,0.3426580739747667,-0.6520168296571596
0,-0.08089823662731531,0.32927256148308237,-0.6263738978877114
0,-0.07773415460109818,0.31640820262171176,-0.6017489732279535
0,-0.074693705558182,0.3040449042916179,-0.5781005630702332
0,-0.07177207230413027,0.29216332540517276,-0.5553889879943368
0,-0.06896462379023381,0.28074485138964606,-0.5335762889238289
0,-0.0662669080979111,0.2697715692322715,-0.5126261404921841
0,-0.06367464566691183,0.2592262430999258,-0.4925037700582715
0,-0.0611837227613288,0.24909229055830337,-0.47317588187706683
0,-0.05879018516724213,0.23935375940866732,-0.4546105859867249
0,-0.05649023211569689,0.22999530515452404,-0.43677733142034647
0,-0.054280210424639694,0.22100216910571976,-0.41964684339168334
0,-0.05215660885340621,0.21236015712334882,-0.40319106413982975
0,-0.05011605266335232,0.20405561900538866,-0.3873830971494576
0,-0.04815529837825189,0.19607542851004345,-0.37219715449098345
0,-0.04627122873813873,0.18840696401131554,-0.3576085070497279
0,-0.04446084784034607,0.18103808977926564,-0.3435934374350247
0,-0.0427212764615889,0.1739571378757164,-0.33012919537971763
